epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1842.16,1.00017,0.90217,1.2537,0.64467,0.63853,0.65796,0.44776,1.25203,1.06644,1.43866,0.000703961,0.000703961,0.000703961
43,1885.59,1.00596,0.90297,1.25383,0.65489,0.62824,0.6655,0.45815,1.23948,1.0548,1.43931,0.000686277,0.000686277,0.000686277
44,1929.06,1.00369,0.89639,1.25838,0.63614,0.65359,0.63757,0.43808,1.24209,1.0516,1.47862,0.000668593,0.000668593,0.000668593
45,1972.55,0.98207,0.88678,1.24602,0.64303,0.61244,0.63222,0.43477,1.22191,1.08227,1.42206,0.000650909,0.000650909,0.000650909
46,2016.04,0.98911,0.8724,1.24634,0.62168,0.61631,0.64961,0.43584,1.24018,1.05823,1.43701,0.000633226,0.000633226,0.000633226
47,2059.36,0.97702,0.85901,1.2379,0.64096,0.59739,0.64146,0.44406,1.2313,1.08991,1.42768,0.000615542,0.000615542,0.000615542
48,2102.77,0.97123,0.83607,1.23437,0.62664,0.61868,0.62062,0.4218,1.28313,1.11707,1.45806,0.000597858,0.000597858,0.000597858
49,2146.19,0.96283,0.83464,1.22584,0.64658,0.64488,0.63448,0.42538,1.27048,1.09313,1.47826,0.000580174,0.000580174,0.000580174
50,2189.67,0.9693,0.84465,1.23219,0.66541,0.59302,0.61764,0.41417,1.29643,1.1673,1.46108,0.00056249,0.00056249,0.00056249
51,2233.55,0.94947,0.82035,1.22081,0.59864,0.58997,0.61217,0.41842,1.27741,1.12143,1.48725,0.000544806,0.000544806,0.000544806
52,2277.4,0.94746,0.80821,1.22391,0.69203,0.60004,0.65078,0.43852,1.27592,1.07338,1.46072,0.000527122,0.000527122,0.000527122
53,2321.27,0.95941,0.81157,1.22719,0.63247,0.63213,0.6397,0.43506,1.27613,1.0846,1.49938,0.000509438,0.000509438,0.000509438
54,2365.01,0.95023,0.81191,1.21681,0.65341,0.59706,0.62053,0.42439,1.27362,1.11131,1.48587,0.000491755,0.000491755,0.000491755
55,2408.68,0.93448,0.79475,1.20806,0.64405,0.60047,0.61821,0.42117,1.26604,1.10173,1.48646,0.000474071,0.000474071,0.000474071
56,2452.31,0.94579,0.78883,1.21448,0.60146,0.6508,0.62872,0.42773,1.26156,1.09616,1.47149,0.000456387,0.000456387,0.000456387
57,2496.14,0.93094,0.76577,1.20465,0.606,0.64987,0.61988,0.4274,1.25506,1.10333,1.47264,0.000438703,0.000438703,0.000438703
58,2539.79,0.93293,0.76981,1.20428,0.65161,0.62717,0.61927,0.41948,1.28913,1.12217,1.49672,0.000421019,0.000421019,0.000421019
59,2583.54,0.91989,0.76178,1.20019,0.63864,0.61447,0.62485,0.42462,1.29045,1.13643,1.48815,0.000403335,0.000403335,0.000403335
60,2626.99,0.92465,0.76344,1.19956,0.62046,0.63933,0.62068,0.41853,1.28669,1.09693,1.51646,0.000385651,0.000385651,0.000385651
